Date,Quantity
19/03/2024,"  201,163 "
20/03/2024,"  213,685 "
21/03/2024,"  209,759 "
22/03/2024,"  224,542 "
23/03/2024,"  230,265 "
24/03/2024,"  226,130 "
25/03/2024,"  181,357 "
26/03/2024,"  190,928 "
27/03/2024,"  199,144 "
28/03/2024,"  198,540 "
29/03/2024,"  204,587 "
30/03/2024,"  231,238 "
31/03/2024,"  231,147 "
