Date,Quantity
16/08/2023,"  48,200 "
17/08/2023,"  51,100 "
18/08/2023,"  50,100 "
19/08/2023,"  49,100 "
20/08/2023,"  54,800 "
21/08/2023,"  54,100 "
22/08/2023,"  50,600 "
23/08/2023,"  49,200 "
24/08/2023,"  52,900 "
25/08/2023,"  49,500 "
26/08/2023,"  51,700 "
27/08/2023,"  51,700 "
28/08/2023,"  53,400 "
29/08/2023,"  48,100 "
30/08/2023,"  51,200 "
31/08/2023,"  54,500 "
01/09/2023,"  66,380 "
02/09/2023,"  68,540 "
03/09/2023,"  69,700 "
04/09/2023,"  57,500 "
05/09/2023,"  43,140 "
06/09/2023,"  41,940 "
07/09/2023,"  42,800 "
08/09/2023,"  35,720 "
09/09/2023,"  42,560 "
10/09/2023,"  54,640 "
11/09/2023,"  44,340 "
12/09/2023,"  42,240 "
13/09/2023,"  42,240 "
14/09/2023,"  38,160 "
15/09/2023,"  39,100 "
16/09/2023,"  44,620 "
17/09/2023,"  44,180 "
18/09/2023,"  36,040 "
19/09/2023,"  39,600 "
20/09/2023,"  40,220 "
21/09/2023,"  34,740 "
22/09/2023,"  36,760 "
23/09/2023,"  43,560 "
24/09/2023,"  43,080 "
25/09/2023,"  31,440 "
26/09/2023,"  31,880 "
27/09/2023,"  35,260 "
28/09/2023,"  35,020 "
29/09/2023,"  49,940 "
30/09/2023,"  39,600 "
01/10/2023,"  39,060 "
02/10/2023,"  36,060 "
03/10/2023,"  32,800 "
04/10/2023,"  32,080 "
05/10/2023,"  34,260 "
06/10/2023,"  32,260 "
07/10/2023,"  40,400 "
08/10/2023,"  46,180 "
09/10/2023,"  34,120 "
10/10/2023,"  33,940 "
11/10/2023,"  35,940 "
12/10/2023,"  35,800 "
13/10/2023,"  52,340 "
14/10/2023,"  53,640 "
15/10/2023,"  58,760 "
16/10/2023,"  58,980 "
17/10/2023,"  57,040 "
18/10/2023,"  56,260 "
19/10/2023,"  47,520 "
20/10/2023,"  52,140 "
21/10/2023,"  41,420 "
22/10/2023,"  51,600 "
23/10/2023,"  79,040 "
24/10/2023,"  55,100 "
25/10/2023,"  61,340 "
26/10/2023,"  60,980 "
27/10/2023,"  57,540 "
28/10/2023,"  57,200 "
29/10/2023,"  61,580 "
30/10/2023,"  63,860 "
31/10/2023,"  61,740 "
01/11/2023,"  66,020 "
02/11/2023,"  65,860 "
03/11/2023,"  65,440 "
04/11/2023,"  60,160 "
05/11/2023,"  63,420 "
06/11/2023,"  68,900 "
07/11/2023,"  65,640 "
08/11/2023,"  63,400 "
09/11/2023,"  66,200 "
10/11/2023,"  67,920 "
11/11/2023,"  57,660 "
12/11/2023,"  56,340 "
13/11/2023,"  66,480 "
14/11/2023,"  58,840 "
15/11/2023,"  59,340 "
16/11/2023,"  61,920 "
17/11/2023,"  61,140 "
18/11/2023,"  67,260 "
19/11/2023,"  68,340 "
20/11/2023,"  75,820 "
21/11/2023,"  68,100 "
22/11/2023,"  60,560 "
23/11/2023,"  64,300 "
24/11/2023,"  67,820 "
25/11/2023,"  70,460 "
26/11/2023,"  69,340 "
27/11/2023,"  73,280 "
28/11/2023,"  76,900 "
29/11/2023,"  79,040 "
30/11/2023,"  83,518 "
01/12/2023,"  85,580 "
02/12/2023,"  89,160 "
03/12/2023,"  89,980 "
04/12/2023,"  89,560 "
05/12/2023,"  92,900 "
06/12/2023,"  100,620 "
07/12/2023,"  107,980 "
08/12/2023,"  102,460 "
09/12/2023,"  101,980 "
10/12/2023,"  98,300 "
11/12/2023,"  94,460 "
12/12/2023,"  86,140 "
13/12/2023,"  91,360 "
14/12/2023,"  90,260 "
15/12/2023,"  92,400 "
16/12/2023,"  93,420 "
17/12/2023,"  108,480 "
18/12/2023,"  94,180 "
19/12/2023,"  89,960 "
20/12/2023,"  84,960 "
21/12/2023,"  81,080 "
22/12/2023,"  101,220 "
23/12/2023,"  100,600 "
24/12/2023,"  131,320 "
25/12/2023,"  107,920 "
26/12/2023,"  88,260 "
27/12/2023,"  84,280 "
28/12/2023,"  95,700 "
29/12/2023,"  97,120 "
30/12/2023,"  107,780 "
31/12/2023,"  108,340 "
01/01/2024,"  124,000 "
02/01/2024,"  88,620 "
03/01/2024,"  83,460 "
04/01/2024,"  84,320 "
05/01/2024,"  88,440 "
06/01/2024,"  97,360 "
07/01/2024,"  105,100 "
08/01/2024,"  80,980 "
09/01/2024,"  96,360 "
10/01/2024,"  91,780 "
11/01/2024,"  89,320 "
12/01/2024,"  96,820 "
13/01/2024,"  99,600 "
14/01/2024,"  103,780 "
15/01/2024,"  99,340 "
16/01/2024,"  81,660 "
17/01/2024,"  81,140 "
18/01/2024,"  76,160 "
19/01/2024,"  80,860 "
20/01/2024,"  92,140 "
21/01/2024,"  98,960 "
22/01/2024,"  96,420 "
23/01/2024,"  105,020 "
24/01/2024,"  93,460 "
25/01/2024,"  101,700 "
26/01/2024,"  95,300 "
27/01/2024,"  99,460 "
28/01/2024,"  86,000 "
29/01/2024,"  84,180 "
30/01/2024,"  94,980 "
31/01/2024,"  105,640 "
01/02/2024,"  103,560 "
02/02/2024,"  120,380 "
03/02/2024,"  91,780 "
04/02/2024,"  90,820 "
05/02/2024,"  101,620 "
06/02/2024,"  100,100 "
07/02/2024,"  101,360 "
08/02/2024,"  91,520 "
09/02/2024,"  99,340 "
10/02/2024,"  119,780 "
11/02/2024,"  112,380 "
12/02/2024,"  110,920 "
13/02/2024,"  109,540 "
14/02/2024,"  107,880 "
15/02/2024,"  114,680 "
16/02/2024,"  98,800 "
17/02/2024,"  91,100 "
18/02/2024,"  91,460 "
19/02/2024,"  102,740 "
20/02/2024,"  98,160 "
21/02/2024,"  87,760 "
22/02/2024,"  88,200 "
23/02/2024,"  93,280 "
24/02/2024,"  88,080 "
25/02/2024,"  77,720 "
26/02/2024,"  78,440 "
27/02/2024,"  79,320 "
28/02/2024,"  74,800 "
29/02/2024,"  77,480 "
01/03/2024,"  86,260 "
02/03/2024,"  90,580 "
03/03/2024,"  91,480 "
04/03/2024,"  70,960 "
05/03/2024,"  73,400 "
06/03/2024,"  75,520 "
07/03/2024,"  85,160 "
08/03/2024,"  89,540 "
09/03/2024,"  90,480 "
10/03/2024,"  91,860 "
11/03/2024,"  83,900 "
12/03/2024,"  78,100 "
13/03/2024,"  74,900 "
14/03/2024,"  70,840 "
15/03/2024,"  74,020 "
16/03/2024,"  79,980 "
17/03/2024,"  72,340 "
18/03/2024,"  61,100 "
19/03/2024,"  63,060 "
20/03/2024,"  69,680 "
21/03/2024,"  66,760 "
22/03/2024,"  73,280 "
23/03/2024,"  74,780 "
24/03/2024,"  74,000 "
25/03/2024,"  55,860 "
26/03/2024,"  56,920 "
27/03/2024,"  59,360 "
28/03/2024,"  66,160 "
29/03/2024,"  73,600 "
30/03/2024,"  77,560 "
31/03/2024,"  78,600 "
